Pseudo-terminal will not be allocated because stdin is not a terminal.
You are not authenticated.
Your tunnel will expire in 60 minutes. Upgrade to Pinggy Pro to get unrestricted tunnels. https://dashboard.pinggy.io
http://evtxz-2001-448a-9090-25b-3914-7c9a-6881-3df0.free.pinggy.net
http://yikdp-2001-448a-9090-25b-3914-7c9a-6881-3df0.run.pinggy-free.link
https://evtxz-2001-448a-9090-25b-3914-7c9a-6881-3df0.free.pinggy.net
https://yikdp-2001-448a-9090-25b-3914-7c9a-6881-3df0.run.pinggy-free.link

RB: 0, SB: 0, TC: 0, AC: 0               
RB: 460, SB: 0, TC: 1, AC: 1               
RB: 460, SB: 0, TC: 1, AC: 1               
RB: 460, SB: 0, TC: 1, AC: 0               
RB: 460, SB: 0, TC: 2, AC: 1               
RB: 460, SB: 312, TC: 1, AC: 1               
RB: 460, SB: 312, TC: 1, AC: 0               
RB: 460, SB: 312, TC: 1, AC: 4294967295               
RB: 460, SB: 312, TC: 2, AC: 0               
RB: 460, SB: 312, TC: 2, AC: 4294967295               
RB: 460, SB: 312, TC: 3, AC: 0               
RB: 460, SB: 312, TC: 3, AC: 4294967295               
RB: 460, SB: 312, TC: 4, AC: 0               
RB: 460, SB: 312, TC: 4, AC: 0               
RB: 460, SB: 312, TC: 4, AC: 0               
RB: 460, SB: 312, TC: 4, AC: 0               
RB: 460, SB: 312, TC: 4, AC: 0               
RB: 460, SB: 312, TC: 4, AC: 0               
RB: 460, SB: 312, TC: 4, AC: 0               
RB: 460, SB: 312, TC: 4, AC: 0               
RB: 460, SB: 312, TC: 4, AC: 0               
RB: 460, SB: 312, TC: 4, AC: 0               
RB: 460, SB: 312, TC: 4, AC: 0               
RB: 460, SB: 312, TC: 4, AC: 0               
RB: 6818, SB: 39029, TC: 7, AC: 6               
RB: 6818, SB: 39029, TC: 7, AC: 6               
RB: 6818, SB: 39029, TC: 7, AC: 6               
RB: 6818, SB: 39029, TC: 7, AC: 6               
RB: 6818, SB: 39029, TC: 7, AC: 6               
RB: 6818, SB: 39029, TC: 7, AC: 6               
RB: 6818, SB: 39029, TC: 7, AC: 6               
RB: 6818, SB: 39029, TC: 7, AC: 6               
RB: 6818, SB: 39029, TC: 7, AC: 6               
RB: 6818, SB: 39029, TC: 7, AC: 6               
RB: 6818, SB: 39029, TC: 7, AC: 6               
RB: 6818, SB: 39029, TC: 7, AC: 6               
RB: 6818, SB: 39029, TC: 7, AC: 6               
RB: 6818, SB: 39029, TC: 7, AC: 6               
RB: 6818, SB: 39029, TC: 7, AC: 6               
RB: 6818, SB: 39029, TC: 7, AC: 6               
RB: 6818, SB: 39029, TC: 7, AC: 6               
RB: 6818, SB: 39029, TC: 7, AC: 6               
RB: 6818, SB: 39029, TC: 7, AC: 6               
RB: 6818, SB: 39029, TC: 7, AC: 6               
RB: 6818, SB: 39029, TC: 7, AC: 6               
RB: 6818, SB: 39029, TC: 7, AC: 6               
RB: 6818, SB: 39029, TC: 7, AC: 6               
RB: 6818, SB: 39029, TC: 7, AC: 6               
RB: 6818, SB: 39029, TC: 7, AC: 6               
RB: 6818, SB: 39029, TC: 7, AC: 6               
RB: 6818, SB: 39029, TC: 7, AC: 6               
RB: 6818, SB: 39029, TC: 7, AC: 6               
RB: 6818, SB: 39029, TC: 7, AC: 6               
RB: 6818, SB: 39029, TC: 7, AC: 6               
RB: 6818, SB: 39029, TC: 7, AC: 6               
RB: 6818, SB: 39029, TC: 7, AC: 6               
RB: 6818, SB: 39029, TC: 7, AC: 6               
RB: 6818, SB: 39029, TC: 7, AC: 6               
RB: 6818, SB: 39029, TC: 7, AC: 6               
RB: 6818, SB: 39029, TC: 7, AC: 6               
RB: 6818, SB: 39029, TC: 7, AC: 6               
RB: 6818, SB: 39029, TC: 7, AC: 6               
RB: 6818, SB: 39029, TC: 7, AC: 6               
RB: 6818, SB: 39029, TC: 7, AC: 6               
RB: 6818, SB: 39029, TC: 7, AC: 6               
RB: 6818, SB: 39029, TC: 7, AC: 6               
RB: 6818, SB: 39029, TC: 7, AC: 5               
RB: 6818, SB: 39029, TC: 8, AC: 6               
RB: 6818, SB: 39029, TC: 8, AC: 6               
RB: 6818, SB: 39029, TC: 8, AC: 6               
RB: 6818, SB: 39029, TC: 8, AC: 6               
RB: 6818, SB: 39029, TC: 8, AC: 6               
RB: 6818, SB: 39029, TC: 8, AC: 6               
RB: 6818, SB: 39029, TC: 8, AC: 6               
